F,Teagan,1723,9.1898e-4
F,Amaya,1709,9.1152e-4
F,Elise,1702,9.0778e-4
F,Harmony,1694,9.0352e-4
F,Paige,1690,9.0138e-4
F,Adaline,1673,8.9231e-4
F,Fiona,1672,8.9178e-4
F,Alaina,1660,8.8538e-4
F,Nicole,1654,8.8218e-4
F,Genevieve,1653,8.8165e-4
F,Lucia,1651,8.8058e-4
F,Alina,1650,8.8005e-4
F,Mckenzie,1645,8.7738e-4
F,Callie,1639,8.7418e-4
F,Payton,1635,8.7205e-4
F,Eloise,1621,8.6458e-4
F,Brooke,1609,8.5818e-4
F,Londyn,1606,8.5658e-4
F,Mariah,1604,8.5551e-4
F,Julianna,1593,8.4965e-4
F,Rachel,1591,8.4858e-4
F,Daniela,1587,8.4645e-4
F,Gracie,1586,8.4591e-4
F,Catherine,1573,8.3898e-4
F,Angelina,1550,8.2671e-4
F,Presley,1526,8.1391e-4
F,Josie,1524,8.1284e-4
F,Harley,1515,8.0804e-4
F,Adelyn,1511,8.0591e-4
F,Vanessa,1508,8.0431e-4
F,Makayla,1492,7.9578e-4
F,Parker,1487,7.9311e-4
F,Juliette,1485,7.9204e-4
F,Amara,1478,7.8831e-4
F,Marley,1463,7.8031e-4
F,Lila,1456,7.7658e-4
F,Ana,1443,7.6964e-4
F,Rowan,1440,7.6804e-4
F,Alana,1432,7.6377e-4
F,Michelle,1421,7.5791e-4
F,Malia,1416,7.5524e-4
F,Rebecca,1416,7.5524e-4
F,Brooklynn,1410,7.5204e-4
F,Brynlee,1408,7.5097e-4
F,Summer,1401,7.4724e-4
F,Sloane,1397,7.4511e-4
F,Leila,1395,7.4404e-4
F,Sienna,1392,7.4244e-4
F,Adriana,1387,0.00073976999999999995
F,Sawyer,1385,7.3871e-4
F,Kendall,1384,7.3817e-4
F,Juliet,1378,7.3497e-4
F,Destiny,1374,7.3284e-4
F,Alayna,1373,7.3231e-4
F,Elliana,1370,7.3071e-4
F,Diana,1358,7.2431e-4
F,Hayden,1351,7.2057e-4
F,Ayla,1346,7.1791e-4
F,Dakota,1346,7.1791e-4
F,Angela,1344,7.1684e-4
F,Noelle,1339,7.1417e-4
F,Rosalie,1339,7.1417e-4
F,Joanna,1337,7.1311e-4
F,Jayla,1334,7.115e-4
F,Alivia,1330,7.0937e-4
F,Lola,1323,7.0564e-4
F,Emersyn,1322,7.051e-4
F,Georgia,1305,6.9604e-4
